current_name,id,status,arcadia_name,also_known_as,aliases,ig_ids,match_source
Furai,2667.0,IMPORTED,Furai,,,3841,Direct match or manual
Fusion Fund,10940.0,IS INCOMPLETE,Fusion Fund,,,140,Direct match or manual
Future Capital,10528.0,IS INCOMPLETE,Future Capital,,,2355,Direct match or manual
Futureplay,1083.0,IMPORTED,Futureplay,,,3178,Direct match or manual
G-devs,3109.0,IMPORTED,G-devs,,,3333,Direct match or manual
G2 Esports,1122.0,IMPORTED,G2 Esports,,,3956,Direct match or manual
GAINS Associates,8940.0,IS INCOMPLETE,GAINS Associates,,,1973,Direct match or manual
GBV Capital,7946.0,IS INCOMPLETE,GBV Capital,,,3356,Direct match or manual
GD10 Capital,9011.0,IS INCOMPLETE,GD10 Capital,,,3356,Direct match or manual
GDA Capital,9677.0,IS INCOMPLETE,GDA Capital,,,3247,Direct match or manual
GDEV,148.0,ENABLED,GDEV,Nexters,,4136,Direct match or manual
GEMS,960.0,IMPORTED,GEMS,,,1973,Direct match or manual
GFR Fund,48.0,ENABLED,GFR Fund,,,"374, 4132, 4153",Direct match or manual
GGTech Entertainment,2369.0,IMPORTED,GGTech Entertainment,,,2869,Direct match or manual
GGV Capital,3674.0,ENABLED,GGV Capital,,,2286,Direct match or manual
GINX TV,2808.0,IMPORTED,GINX TV,,,3899,Direct match or manual
GMGC,11071.0,IS INCOMPLETE,GMGC,,,429,Direct match or manual
GRID,2972.0,ENABLED,GRID,Breshna,,"3098, 1701",Direct match or manual
GSR,3628.0,ENABLED,GSR,"GSR Holdings Limited, GSR Markets, GSR Markets Limited",,"2799, 3615",Direct match or manual
GTAK Capital,9854.0,IS INCOMPLETE,GTAK Capital,,,1536,Direct match or manual
GVFL,8269.0,IS INCOMPLETE,GVFL,,,2492,Direct match or manual
Gabby Dizon,9265.0,IS INCOMPLETE,Gabby Dizon,,,2782,Direct match or manual
Gaingels,425.0,ENABLED,Gaingels,,,2215,Direct match or manual
Gala Games,8232.0,IS INCOMPLETE,Gala Games,,,4154,Direct match or manual
Galaxy Interactive,41.0,ENABLED,Galaxy Interactive,,,"139, 640, 1286, 2419",Direct match or manual
Galileo Ventures,10589.0,IS INCOMPLETE,Galileo Ventures,,,2155,Direct match or manual
