current_name,id,status,arcadia_name,also_known_as,aliases,ig_ids,match_source
Splinterlands,1258.0,IMPORTED,Splinterlands,,,309,Direct match or manual
Spoilz Games,965.0,IMPORTED,Spoilz Games,,,"2021, 4167",Direct match or manual
SportsHero,3415.0,IMPORTED,SportsHero,ASX:SHO,SportsHero (ASX:SHO),771,Direct match or manual
Square Enix,2102.0,ENABLED,Square Enix,TSE: 9684,,"902, 2153, 3933, 4132",Direct match or manual
Square Enix Montreal,3852.0,ENABLED,Square Enix Montreal,,Square Enix (TSE: 9684) MontrÃ©al,2283,Direct match or manual
Stan,3849.0,ENABLED,Stan,GetStan,,4132,Direct match or manual
Stani Kulechov,10736.0,IS INCOMPLETE,Stani Kulechov,,,1254,Direct match or manual
Starbreeze,670.0,IMPORTED,Starbreeze,STO: STAR B,Starbreeze (STO: STAR B),"82, 2790",Direct match or manual
Starbreeze - PAYDAY Crime War (IP sale),3471.0,ENABLED,Starbreeze - PAYDAY Crime War (IP sale),PAYDAY Crime War,,980,Direct match or manual
Stardom,8669.0,IS INCOMPLETE,Stardom,,,2455,Direct match or manual
Starverse,9793.0,IS INCOMPLETE,Starverse,,,1973,Direct match or manual
Stateless Ventures,9385.0,IS INCOMPLETE,Stateless Ventures,,,2693,Direct match or manual
Steel Perlot,7903.0,IS INCOMPLETE,Steel Perlot,,,2802,Direct match or manual
Stephen Pagliuca,8552.0,IS INCOMPLETE,Stephen Pagliuca,,,538,Direct match or manual
Steve Chen,9238.0,IS INCOMPLETE,Steve Chen,,,373,Direct match or manual
Stillfront Group,135.0,ENABLED,Stillfront Group,,Stillfront Group (STO: SF),"33, 257, 1060, 1338, 2978, 3287, 3770, 3808, 1650",Direct match or manual
Storycraft,2851.0,IMPORTED,Storycraft,,,2823,Direct match or manual
StreamCards,1578.0,IMPORTED,StreamCards,,,1051,Direct match or manual
Streamloots,445.0,IMPORTED,Streamloots,,,453,Direct match or manual
Strecko Investments,10397.0,IS INCOMPLETE,Strecko Investments,,,3759,Direct match or manual
StreumOn Studio,871.0,IMPORTED,StreumOn Studio,,StreumOn Studio founders,995,Direct match or manual
Strike,7900.0,IS INCOMPLETE,Strike,,,2802,Direct match or manual
Studio Atelico,1066.0,IMPORTED,Studio Atelico,,,4156,Direct match or manual
Studio Sasanqua,656.0,IMPORTED,Studio Sasanqua,,,3922,Direct match or manual
Subscrible,2589.0,IMPORTED,Subscrible,,,3396,Direct match or manual
Sumo Group,78.0,ENABLED,Sumo Group,AIM:SUMO,Sumo Group (AIM:SUMO),"316, 743",Direct match or manual
Sundog,999.0,IMPORTED,Sundog,,,2653,Direct match or manual
Sunspear Games,1180.0,IMPORTED,Sunspear Games,,,137,Direct match or manual
Super League Gaming,2963.0,ENABLED,Super League Gaming,NasdaqCM:SLGG,"Super League Gaming (NASDAQ: SLGG),Super League Gaming (NasdaqCM:SLGG)","2810, 210, 395, 695, 789, 921",Direct match or manual
Super Money Games,3454.0,IMPORTED,Super Money Games,,,3468,Direct match or manual
SuperDraft,3413.0,IMPORTED,SuperDraft,,,2987,Direct match or manual
SuperDuperSecret,2329.0,IMPORTED,SuperDuperSecret,,,2782,Direct match or manual
SuperGaming,754.0,IMPORTED,SuperGaming,,,"2709, 3874, 4138",Direct match or manual
SuperPlay,124.0,ENABLED,SuperPlay,,,2535,Direct match or manual
SuperScale,3168.0,IMPORTED,SuperScale,,,3759,Direct match or manual
Supercell,28.0,ENABLED,Supercell,,Supercell (Tencent),2112,Direct match or manual
Superpower Squad,3240.0,IMPORTED,Superpower Squad,,,2136,Direct match or manual
Supersocial,3071.0,ENABLED,Supersocial,,,559,Direct match or manual
Survios,1329.0,IMPORTED,Survios,,,475,Direct match or manual
SushiSwap,7905.0,IS INCOMPLETE,SushiSwap,,,1982,Direct match or manual
Swae Lee,8849.0,IS INCOMPLETE,Swae Lee,,,2215,Direct match or manual
Swarmio Media,712.0,IMPORTED,Swarmio Media,CNSX: SWRM,Swarmio Media (CNSX: SWRM),"2695, 2696",Direct match or manual
Swedbank,11095.0,IS INCOMPLETE,Swedbank,,,3523,Direct match or manual
Sybo Games,268.0,ENABLED,Sybo Games,Sybo,,374,Direct match or manual
Sylen Studio,1339.0,IMPORTED,Sylen Studio,,,494,Direct match or manual
T Labs,10124.0,IS INCOMPLETE,T Labs,,,3733,Direct match or manual
TGS Esports,814.0,IMPORTED,TGS Esports,TSXV:TGS,"TGS Esports Inc. (TSXV:TGS),TGS Esports (TSXV: TGS)","698, 340, 657",Direct match or manual
TIRTA Ventures,113.0,ENABLED,TIRTA Ventures,Tirta Ventures,,"3124, 4028",Direct match or manual
TON Ventures,7856.0,IS INCOMPLETE,TON Ventures,,,4125,Direct match or manual
TVP,9703.0,IS INCOMPLETE,TVP,,,1328,Direct match or manual
Taavet+Sten,10469.0,IS INCOMPLETE,Taavet+Sten,,,1664,Direct match or manual
Taisu Ventures,10016.0,IS INCOMPLETE,Taisu Ventures,,,4125,Direct match or manual
Take-Two Interactive Software,130.0,ENABLED,Take-Two Interactive Software,,,3142,Direct match or manual
Talerock,1088.0,IMPORTED,Talerock,,,1597,Direct match or manual
Talewind,894.0,IMPORTED,Talewind,,,1172,Direct match or manual
Talon,1768.0,IMPORTED,Talon,Talon Esports,,495,Direct match or manual
Tamatem Games,699.0,IMPORTED,Tamatem Games,,,"2145, 3296",Direct match or manual
Tar Heel Capital Pathfinder,10858.0,IS INCOMPLETE,Tar Heel Capital Pathfinder,,,969,Direct match or manual
Team Finest,1422.0,IMPORTED,Team Finest,,,672,Direct match or manual
Team Vitality,1833.0,IMPORTED,Team Vitality,,,1680,Direct match or manual
Technicolor Creative Studios,2132.0,IMPORTED,Technicolor Creative Studios,,,2354,Direct match or manual
Techstars,7872.0,IS INCOMPLETE,Techstars,,,"53, 99",Direct match or manual
Temasek,69.0,ENABLED,Temasek,,Temasek Holdings,"2286, 2355",Direct match or manual
Tencent,29.0,ENABLED,Tencent,,"Tencent Holdings,Tencent (SEHK: 700)","8, 65, 479, 546, 607, 846, 902, 1862, 1898, 1921, 2336, 2342, 2923, 3920, 4073, 4182",Direct match or manual
Tevaera,2567.0,IMPORTED,Tevaera,,,3356,Direct match or manual
Thats No Moon Entertainment,1652.0,ENABLED,Thats No Moon Entertainment,"That’s No Moon, Thatâ  s No Moon Entertainment",,"1237, 3015",Direct match or manual
The Academys,1518.0,IMPORTED,The Academys,,,901,Direct match or manual
The Game Company,2945.0,ENABLED,The Game Company,,The Game Company,2807,Direct match or manual
The Games Angels,110.0,ENABLED,The Games Angels,,,4131,Direct match or manual
The Games Fund,111.0,ENABLED,The Games Fund,TGF,,1511,Direct match or manual
The Kerving Group,9847.0,IS INCOMPLETE,The Kerving Group,,,1536,Direct match or manual
The Last Gameboard,879.0,IMPORTED,The Last Gameboard,,,2116,Direct match or manual
The Meta Game,1211.0,IMPORTED,The Meta Game,,,211,Direct match or manual
The Operating Group,10263.0,IS INCOMPLETE,The Operating Group,,,4121,Direct match or manual
The Raine Group,112.0,ENABLED,The Raine Group,,"Raine Group,Raine Partners,Raine Ventures","1964, 4072",Direct match or manual
The Sandbox,335.0,ENABLED,The Sandbox,,,3450,Direct match or manual
The Sporting News,8522.0,IS INCOMPLETE,The Sporting News,,,2987,Direct match or manual
The Tornante,11013.0,IS INCOMPLETE,The Tornante,,,3956,Direct match or manual
The9,727.0,IMPORTED,The9,NasdaqCM:NCTY,"The9 Limited (Nasdaq: NCTY),The9 (NasdaqCM:NCTY)",478,Direct match or manual
TheAlliance,8831.0,IS INCOMPLETE,TheAlliance,,,2215,Direct match or manual
Theia Studios,948.0,IMPORTED,Theia Studios,,,1849,Direct match or manual
Third Wave Digital Partners,10497.0,IS INCOMPLETE,Third Wave Digital Partners,,,46,Direct match or manual
Thirdverse,2899.0,IMPORTED,Thirdverse,,,"2482, 3100",Direct match or manual
Thunderful Group,843.0,IMPORTED,Thunderful Group,"OM:THUNDR, FRA: 8JH",Thunderful Group (OM:THUNDR),"628, 4186",Direct match or manual
Tido Capital,10125.0,IS INCOMPLETE,Tido Capital,,,3733,Direct match or manual
Tieclan,2668.0,IMPORTED,Tieclan,,,3575,Direct match or manual
Tiger Global,322.0,ENABLED,Tiger Global,,Tiger Global Management,1964,Direct match or manual
Tilia,740.0,IMPORTED,Tilia,,,2405,Direct match or manual
Tilting Point,196.0,ENABLED,Tilting Point,,,110,Direct match or manual
Timo Soininen,9720.0,IS INCOMPLETE,Timo Soininen,,,1328,Direct match or manual
Tine Pensjonskasse,11189.0,IS INCOMPLETE,Tine Pensjonskasse,,,50,Direct match or manual
Tivola Games - Tivola Games Portfolio (IP sale),2576.0,ENABLED,Tivola Games - Tivola Games Portfolio (IP sale),Tivola Games,"Tivola Games GmbH,Tivola Games IPs",4042,Direct match or manual
Tokamak Network,9817.0,IS INCOMPLETE,Tokamak Network,,,1982,Direct match or manual
Tokyo Beast,2680.0,IMPORTED,Tokyo Beast,,,3608,Direct match or manual
TokyoTsushin,1424.0,IMPORTED,TokyoTsushin,TSE:7359,TokyoTsushin (TSE:7359),677,Direct match or manual
Top App Games,1046.0,IMPORTED,Top App Games,,,3789,Direct match or manual
Toppan Printing,11389.0,IS INCOMPLETE,Toppan Printing,,,3055,Direct match or manual
Tosby Games,3069.0,IMPORTED,Tosby Games,,,914,Direct match or manual
Tower 26 Ventures,114.0,ENABLED,Tower 26 Ventures,,Tower 26,"2455, 2882",Direct match or manual
Toydium,2673.0,IMPORTED,Toydium,,,3594,Direct match or manual
Tradelite Solutions,3411.0,ENABLED,Tradelite Solutions,Tradelite Solutions GmbH,,687,Direct match or manual
Trailmix,2019.0,IMPORTED,Trailmix,,,2112,Direct match or manual
Transcend Fund,115.0,ENABLED,Transcend Fund,,,"2785, 3248",Direct match or manual
Tribe Capital,9719.0,IS INCOMPLETE,Tribe Capital,,,2062,Direct match or manual
Trifecta Capital,9834.0,IS INCOMPLETE,Trifecta Capital,,,2819,Direct match or manual
Trinito,9162.0,IS INCOMPLETE,Trinito,,,2491,Direct match or manual
Triple O Games,3423.0,ENABLED,Triple O Games,"Triple O Studios, Battle Derby",Triple O Studios (Battle Derby),955,Direct match or manual
Triptyq Capital,10082.0,IS INCOMPLETE,Triptyq Capital,,,2823,Direct match or manual
Triternion,2124.0,IMPORTED,Triternion,,,2336,Direct match or manual
Triumph,3430.0,IMPORTED,Triumph,,,2802,Direct match or manual
Trophy Games,3425.0,IMPORTED,Trophy Games,CPSE:TGAMES,Trophy Games (CPSE:TGAMES),966,Direct match or manual
True Gamers,2966.0,IMPORTED,True Gamers,,,4005,Direct match or manual
True Global Ventures,3558.0,ENABLED,True Global Ventures,TGV,,"3450, 2348",Direct match or manual
Trufan,1516.0,IMPORTED,Trufan,,,896,Direct match or manual
Tull Investment Group,9998.0,IS INCOMPLETE,Tull Investment Group,,,1033,Direct match or manual
Tunga Games,3048.0,IMPORTED,Tunga Games,,,3078,Direct match or manual
Twisted Pixel,2155.0,IMPORTED,Twisted Pixel,,,2391,Direct match or manual
Tworogue Games,3309.0,IMPORTED,Tworogue Games,,,1367,Direct match or manual
UTA Acquisition,1087.0,IMPORTED,UTA Acquisition,,UTA Acquisition Corporation,1594,Direct match or manual
Ubisoft Entertainment,219.0,ENABLED,Ubisoft Entertainment,,,"583, 3092",Direct match or manual
Ubitus,864.0,IMPORTED,Ubitus,,,"902, 3281",Direct match or manual
Ultimate Endgamers League,2467.0,IMPORTED,Ultimate Endgamers League,,,3123,Direct match or manual
Ultra,10042.0,IS INCOMPLETE,Ultra,,,"2799, 3977",Direct match or manual
Umuro Game,571.0,IMPORTED,Umuro Game,,Umuro,2459,Direct match or manual
Unchained Entertainment,612.0,IMPORTED,Unchained Entertainment,City State Entertainment,"Unchained Entertainment (ex City State Entertainment),City State Entertainment",2480,Direct match or manual
Undisclosed,366.0,ENABLED,Undisclosed,,Undisclosed company,"4, 16, 28, 33, 37, 50, 51, 68, 70, 76, 88, 94, 95, 109, 128, 137, 146, 151, 157, 164, 177, 199, 208, 210, 211, 218, 233, 239, 241, 246, 257, 274, 287, 290, 298, 302, 308, 309, 311, 313, 316, 330, 332, 336, 339, 340, 350, 365, 366, 367, 372, 374, 381, 386, 391, 395, 400, 402, 413, 420, 423, 428, 429, 434, 435, 454, 455, 456, 457, 458, 459, 464, 467, 478, 482, 487, 489, 490, 492, 494, 495, 501, 506, 523, 535, 536, 542, 548, 551, 552, 555, 559, 561, 577, 583, 584, 586, 592, 602, 614, 618, 628, 640, 653, 656, 661, 666, 672, 677, 687, 694, 695, 698, 702, 707, 711, 717, 731, 743, 761, 766, 771, 778, 788, 789, 797, 801, 807, 808, 815, 822, 825, 836, 841, 844, 849, 852, 865, 867, 878, 879, 881, 883, 884, 886, 890, 896, 901, 906, 908, 909, 914, 917, 918, 920, 921, 928, 933, 938, 939, 942, 944, 955, 961, 966, 969, 970, 981, 986, 988, 1004, 1006, 1009, 1012, 1016, 1036, 1038, 1042, 1051, 1060, 1070, 1084, 1094, 1101, 1103, 1105, 1132, 1133, 1138, 1161, 1164, 1170, 1172, 1186, 1203, 1253, 1296, 1312, 1321, 1338, 1341, 1344, 1422, 1435, 1459, 1467, 1514, 1522, 1541, 1542, 1547, 1571, 1582, 1584, 1585, 1588, 1594, 1613, 1616, 1631, 1635, 1698, 1725, 1752, 1768, 1769, 1782, 1791, 1793, 1818, 1847, 1849, 1859, 1886, 1896, 1923, 1965, 1971, 1973, 1974, 1982, 2003, 2021, 2057, 2078, 2096, 2098, 2106, 2107, 2114, 2116, 2129, 2158, 2169, 2175, 2177, 2198, 2213, 2236, 2262, 2272, 2353, 2354, 2358, 2365, 2366, 2369, 2396, 2409, 2415, 2431, 2449, 2459, 2472, 2480, 2485, 2489, 2491, 2496, 2510, 2511, 2513, 2518, 2522, 2540, 2549, 2575, 2602, 2606, 2607, 2613, 2624, 2633, 2642, 2653, 2656, 2662, 2681, 2683, 2690, 2692, 2695, 2696, 2736, 2738, 2757, 2777, 2780, 2781, 2782, 2784, 2788, 2790, 2795, 2797, 2798, 2799, 2807, 2808, 2810, 2811, 2829, 2832, 2844, 2846, 2849, 2856, 2884, 2888, 2889, 2891, 2915, 2917, 2931, 2940, 2946, 2964, 2978, 2982, 2992, 2997, 3004, 3005, 3015, 3025, 3033, 3039, 3049, 3055, 3070, 3092, 3100, 3102, 3105, 3110, 3119, 3121, 3123, 3126, 3131, 3132, 3134, 3136, 3139, 3140, 3142, 3148, 3150, 3182, 3188, 3209, 3217, 3229, 3232, 3242, 3250, 3260, 3262, 3263, 3269, 3283, 3286, 3287, 3288, 3290, 3304, 3328, 3332, 3333, 3335, 3338, 3345, 3346, 3353, 3365, 3379, 3389, 3394, 3396, 3404, 3419, 3423, 3429, 3439, 3442, 3460, 3462, 3468, 3470, 3497, 3506, 3508, 3511, 3513, 3523, 3525, 3526, 3527, 3530, 3538, 3541, 3550, 3558, 3561, 3565, 3566, 3569, 3575, 3596, 3608, 3640, 3643, 3655, 3662, 3670, 3675, 3684, 3691, 3694, 3718, 3722, 3741, 3750, 3761, 3767, 3769, 3770, 3773, 3788, 3789, 3805, 3808, 3813, 3819, 3824, 3827, 3847, 3848, 3854, 3858, 3909, 3912, 3923, 3929, 3933, 3937, 3941, 3946, 3962, 3964, 3982, 3983, 3990, 4005, 4022, 4034, 4059, 4062, 4071, 4095, 4116, 4132, 4137, 4138, 4141, 4143, 4158, 4177, 4178, 4180, 4183, 4184",Direct match or manual
Unicorn India Ventures,11166.0,IS INCOMPLETE,Unicorn India Ventures,,,2492,Direct match or manual
United Gamers,2978.0,IMPORTED,United Gamers,,,542,Direct match or manual
Unity Software,380.0,ENABLED,Unity Software,,,1547,Direct match or manual
Universally Speaking,1501.0,IMPORTED,Universally Speaking,,,857,Direct match or manual
Untold Tales,1571.0,IMPORTED,Untold Tales,,,1036,Direct match or manual
Upfront Ventures,10444.0,IS INCOMPLETE,Upfront Ventures,,,3933,Direct match or manual
Upland,724.0,IMPORTED,Upland,,,1488,Direct match or manual
Uppercut Games,2629.0,IMPORTED,Uppercut Games,,,3487,Direct match or manual
VESPA Inc,8103.0,IS INCOMPLETE,VESPA Inc,,,3135,Direct match or manual
VRFabric,2373.0,IMPORTED,VRFabric,,,2884,Direct match or manual
VSPN,678.0,IMPORTED,VSPN,,,"721, 700",Direct match or manual
Valhalla Ventures,8866.0,IS INCOMPLETE,Valhalla Ventures,,,2802,Direct match or manual
VanEck,10265.0,IS INCOMPLETE,VanEck,,,3730,Direct match or manual
Vanta,983.0,IMPORTED,Vanta,,,3497,Direct match or manual
Veloce,813.0,IMPORTED,Veloce,,,339,Direct match or manual
Venture Catalysts,9822.0,IS INCOMPLETE,Venture Catalysts,,,2819,Direct match or manual
Venture to Future Fund,10399.0,IS INCOMPLETE,Venture to Future Fund,,,3759,Direct match or manual
Versus Systems,674.0,IMPORTED,Versus Systems,CNSX:VS,"Versus Systems (CNSX:VS),Versus Systems Inc. (CNSX:VS)","76, 584, 717, 1859, 3033",Direct match or manual
Versus Ventures,10381.0,IS INCOMPLETE,Versus Ventures,,,4095,Direct match or manual
Verve Group,198.0,ENABLED,Verve Group,"ETR: M8G, Verve Group, Verve,M8G.ST, Media and Games Invest","Media and Games Invest (XTRA:M8G),Media and Games Invest (ETR: M8G)","918, 1038, 1296, 467, 561",Direct match or manual
Vic Game Studios,1041.0,IMPORTED,Vic Game Studios,,,3386,Direct match or manual
Victor Yushchenko,9584.0,IS INCOMPLETE,Victor Yushchenko,,,3102,Direct match or manual
Victory Square Technologies,1530.0,IMPORTED,Victory Square Technologies,,Victory Square Technologies' subsidiary Immersive Tech,938,Direct match or manual
Vindex,812.0,IMPORTED,Vindex,,,336,Direct match or manual
Vintorog,2640.0,IMPORTED,Vintorog,,,3511,Direct match or manual
Virtuix,2980.0,IMPORTED,Virtuix,,,"402, 1101",Direct match or manual
Visionplus,11063.0,IS INCOMPLETE,Visionplus,,,218,Direct match or manual
Visual Arts,2386.0,IMPORTED,Visual Arts,,,2923,Direct match or manual
Vitalbridge,11184.0,IS INCOMPLETE,Vitalbridge,,,86,Direct match or manual
Volter AI,2641.0,IMPORTED,Volter AI,,,3513,Direct match or manual
W4 Games,3171.0,IMPORTED,W4 Games,,,"3290, 3550",Direct match or manual
WARP,2870.0,IMPORTED,WARP,,,4034,Direct match or manual
WEMIX,8028.0,IS INCOMPLETE,WEMIX,,,3479,Direct match or manual
WW Ventures,8577.0,IS INCOMPLETE,WW Ventures,,,2491,Direct match or manual
Waterdrip Capital,9663.0,IS INCOMPLETE,Waterdrip Capital,,,1612,Direct match or manual
We're Five Games,1474.0,ENABLED,We're Five Games,Weâ  re Five Games,,790,Direct match or manual
WeMade,2176.0,ENABLED,WeMade,,,4166,Direct match or manual
Weathered Sweater,2401.0,IMPORTED,Weathered Sweater,,,2953,Direct match or manual
Well-Link Technologies,1097.0,IMPORTED,Well-Link Technologies,,,2355,Direct match or manual
Westgate,1296.0,IMPORTED,Westgate,,,386,Direct match or manual
Wevr,2613.0,IMPORTED,Wevr,,,3446,Direct match or manual
WhaleApp,2374.0,IMPORTED,WhaleApp,,,2891,Direct match or manual
Whitman,11236.0,IS INCOMPLETE,Whitman,,,547,Direct match or manual
Whitwell & Co,8846.0,IS INCOMPLETE,Whitwell & Co,,,2215,Direct match or manual
Whow Games,1622.0,IMPORTED,Whow Games,,,4185,Direct match or manual
Wicket Gaming,707.0,IMPORTED,Wicket Gaming,,,"2106, 2496, 2940, 2523",Direct match or manual
Wild Sloths,7927.0,IS INCOMPLETE,Wild Sloths,,,374,Direct match or manual
Wilf family,11012.0,IS INCOMPLETE,Wilf family,,,3956,Direct match or manual
Win-Win Fund,11405.0,IS INCOMPLETE,Win-Win Fund,,,65,Direct match or manual
WinZo,3398.0,ENABLED,WinZo,,,"404, 538",Direct match or manual
Winking Studios,2748.0,IMPORTED,Winking Studios,,,3835,Direct match or manual
Winklevoss Capital,3497.0,ENABLED,Winklevoss Capital,,,2274,Direct match or manual
Wisdom Gaming Group,825.0,IMPORTED,Wisdom Gaming Group,,,"242, 2431",Direct match or manual
Wise Ventures,3720.0,ENABLED,Wise Ventures,,,3956,Direct match or manual
WndrCo,7902.0,IS INCOMPLETE,WndrCo,,,"1462, 4028",Direct match or manual
Wolf Games,3063.0,IMPORTED,Wolf Games,,,3941,Direct match or manual
WonderPlanet,508.0,IMPORTED,WonderPlanet,TSE:4199,WonderPlanet (TSE:4199),1133,Direct match or manual
Woori Technology Investment Co,7860.0,IS INCOMPLETE,Woori Technology Investment Co,,,475,Direct match or manual
Wordle - Wordle (IP sale),531.0,ENABLED,Wordle - Wordle (IP sale),Wordle,,2047,Direct match or manual
World Overlay,9794.0,IS INCOMPLETE,World Overlay,,,1973,Direct match or manual
Worldwide Wes,8851.0,IS INCOMPLETE,Worldwide Wes,,,2215,Direct match or manual
X1 Esports,2042.0,IMPORTED,X1 Esports,X1 Esports & Entertainment,,2169,Direct match or manual
XD,1237.0,IMPORTED,XD,SEHK:2400,XD Inc. (SEHK:2400),4144,Direct match or manual
XSET,834.0,IMPORTED,XSET,,,2215,Direct match or manual
Xiamen Venture Capital,9323.0,IS INCOMPLETE,Xiamen Venture Capital,,,2781,Direct match or manual
Xinguang Liumei,931.0,IMPORTED,Xinguang Liumei,,,1584,Direct match or manual
Xingzhe AI,2523.0,IMPORTED,Xingzhe AI,,,3245,Direct match or manual
Xsolla president David Stelzer,7925.0,IS INCOMPLETE,Xsolla president David Stelzer,,,3248,Direct match or manual
Xterio,2904.0,ENABLED,Xterio,,,2984,Direct match or manual
Y Combinator,3579.0,ENABLED,Y Combinator,,,"131, 4052",Direct match or manual
YDx Innovation,1130.0,IMPORTED,YDx Innovation,TSXV:YDX,YDx Innovation (TSXV:YDX),16,Direct match or manual
YZi Labs,346.0,ENABLED,YZi Labs,Binance Labs,,2776,Direct match or manual
Yager,178.0,ENABLED,Yager,,,65,Direct match or manual
Yahaha,892.0,IMPORTED,Yahaha,,,1161,Direct match or manual
Yanzhong Technology,1077.0,IMPORTED,Yanzhong Technology,Xiamen Yanzhong Technology,"Xiamen Yanzhong Technology Co., Ltd.",418,Direct match or manual
Yarnhub Animation Studios,2828.0,IMPORTED,Yarnhub Animation Studios,,,4071,Direct match or manual
Yellowbell,11061.0,IS INCOMPLETE,Yellowbell,,,218,Direct match or manual
Yield Guild Games,419.0,ENABLED,Yield Guild Games,"IndiGG, YGG",IndiGG (Yield Guild Games),"2654, 1288, 1970, 2482, 2666, 4062, 4125",Direct match or manual
Yifan Interactive,475.0,IMPORTED,Yifan Interactive,Shenzhen Yifan Interactive Technology,Shenzhen Yifan Interactive Technology Co,279,Direct match or manual
Yin Yang Games,2079.0,IMPORTED,Yin Yang Games,,,2244,Direct match or manual
Young Money,8852.0,IS INCOMPLETE,Young Money,,,2215,Direct match or manual
Yudiz Solutions,2398.0,IMPORTED,Yudiz Solutions,,,2946,Direct match or manual
Yuga Labs,350.0,ENABLED,Yuga Labs,,,4075,Direct match or manual
Z League,3408.0,IMPORTED,Z League,,,"551, 1094",Direct match or manual
ZEBEDEE,906.0,ENABLED,ZEBEDEE,ZBD,,1328,Direct match or manual
Zee Prime Capital,9326.0,IS INCOMPLETE,Zee Prime Capital,,,4121,Direct match or manual
Zeev Ventures,10939.0,IS INCOMPLETE,Zeev Ventures,,,4143,Direct match or manual
Zell Capital,7992.0,IS INCOMPLETE,Zell Capital,,,1701,Direct match or manual
Zelos,1177.0,IMPORTED,Zelos,,,131,Direct match or manual
Zentry,353.0,ENABLED,Zentry,GuildFi,GuildFi (Zentry),"2215, 2491",Direct match or manual
Zero One Hundred,10401.0,IS INCOMPLETE,Zero One Hundred,,,3759,Direct match or manual
Zeuz.io,3185.0,IMPORTED,Zeuz.io,,,59,Direct match or manual
Zhejiang Chuangxiang Cultural Fund,10942.0,IS INCOMPLETE,Zhejiang Chuangxiang Cultural Fund,,,701,Direct match or manual
Zhejiang Publishing,10943.0,IS INCOMPLETE,Zhejiang Publishing,,,701,Direct match or manual
Zombie World Z,1806.0,IMPORTED,Zombie World Z,Crush Meta,Zombie World Z (Crush Meta),1616,Direct match or manual
e2vc,423.0,ENABLED,e2vc,"500 Istanbul, 500 Emerging Europe",,4112,Direct match or manual
eGoGames,3383.0,IMPORTED,eGoGames,,,1536,Direct match or manual
eWTP Tech Innovation Fund,8525.0,IS INCOMPLETE,eWTP Tech Innovation Fund,,,1747,Direct match or manual
gameXcite,1445.0,IMPORTED,gameXcite,,,4043,Direct match or manual
iCandy Interactive,3013.0,IMPORTED,iCandy Interactive,ASX:ICI,iCandy Interactive (ASX:ICI),"429, 1365",Direct match or manual
iDreamSky,234.0,IMPORTED,iDreamSky Technology,,,4130,Direct match or manual
immersionED,2291.0,IMPORTED,immersionED,,,2692,Direct match or manual
k-ID,743.0,ENABLED,k-ID,,,3124,Direct match or manual
now.gg,997.0,IMPORTED,now.gg,,,2729,Direct match or manual
peak6,11179.0,IS INCOMPLETE,peak6,,,3526,Direct match or manual
the*gameHERs,2684.0,IMPORTED,the*gameHERs,,,3616,Direct match or manual
threeTechAngels members,8329.0,IS INCOMPLETE,threeTechAngels members,,,315,Direct match or manual
tinyBuild,417.0,ENABLED,tinyBuild,,,"881, 3126, 790, 1284, 2279",Direct match or manual
vgames,118.0,ENABLED,vgames,,,"2535, 2882, 4011",Direct match or manual
x21 Digital,7849.0,IS INCOMPLETE,x21 Digital,X21 Limited,,1459,Direct match or manual
